config,source_article,logical_fallacies,text_vi
edu,"If you don't go to camp, you won't have fun this summer, and your whole summer will be ruined!",faulty generalization,"Nếu bạn không đi trại hè, bạn sẽ chẳng có gì vui trong mùa hè này và cả mùa hè của bạn sẽ coi như vứt đi!"
edu,Is your stupidity inborn?,intentional,Sự ngu ngốc của cậu là bẩm sinh à?
edu,"The writer, speaker, or an ad supports a claim with restatements of the same claim. (The argument goes around and around in a circle)",circular reasoning,"Người viết, người nói hoặc một quảng cáo bảo vệ luận điểm bằng cách lặp lại chính luận điểm đó. (Lập luận cứ chạy vòng quanh như một cái vòng lẩn quẩn)"
edu,Of course you don't like rap or hip-hop music! You wear the same clothes every day and have zero fashion sense.,ad hominem,"Tất nhiên là cậu chẳng thích nhạc rap hay hip-hop rồi! Nhìn cách cậu mặc đồ mỗi ngày kìa, gu thời trang bằng không."
edu,"It is said that we have a good understanding of our universe.  Therefore, we know exactly how it began and exactly when.",equivocation,"Người ta bảo chúng ta hiểu biết rất rõ về vũ trụ. Vì thế, chúng ta biết chính xác nó bắt đầu như thế nào và chính xác là khi nào."
edu,"Before he died, poet Allen Ginsberg argued in favor of legalizing pornography. But Ginsberg's arguments are nothing but trash. Ginsberg was a pot-smoking homosexual and a thoroughgoing advocate of the drug culture.",ad hominem,"Trước khi qua đời, nhà thơ Allen Ginsberg đã lập luận ủng hộ việc hợp pháp hóa văn hóa phẩm đồi trụy. Nhưng mấy luận điểm của Ginsberg chỉ là rác rưởi thôi. Ginsberg là một kẻ đồng tính hút cần và là một người ủng hộ cuồng nhiệt văn hóa sử dụng ma túy."
edu,(Ignoring the Question): when a rebuttal doesn't address the question ,fallacy of relevance,(Lờ đi câu hỏi): khi phần phản biện không hề đả động gì đến câu hỏi được đặt ra.
edu,"A: I don't want to visit McDonald's today.
B: So you're just against good food then?
The above is an example of:",fallacy of extension,"A: Hôm nay tôi không muốn ăn McDonald's.
B: Vậy ra ý cậu là cậu ghét đồ ăn ngon đúng không?
Ví dụ trên là một minh chứng cho:"
edu,"""I'd like to punch him in the face."" - Donald Trump (Feb. 2016, at a campaign rally, remarks directed at a protester who was being escorted out of the rally.)",appeal to emotion,"""Tôi muốn đấm vào mặt hắn."" - Donald Trump (Tháng 2 năm 2016, tại một buổi vận động tranh cử, lời lẽ nhắm vào một người biểu tình đang bị áp giải ra ngoài.)"
edu,Senator Ribbit is a liar. You shouldn't listen to him on anything.,ad hominem,Thượng nghị sĩ Ribbit là một kẻ dối trá. Bạn không nên nghe bất cứ điều gì ông ta nói.
edu,There's no way you know this - you're clearly too young to understand!,ad hominem,Làm sao mà cậu biết được chuyện này chứ - cậu còn quá trẻ để hiểu được đâu!
edu,Mrs. Sedik really knows math; she would be an excellent math instructor.,fallacy of logic,"Cô Sedik rất giỏi toán, nên chắc chắn cô ấy sẽ là một giáo viên dạy toán xuất sắc."
edu,"""I asked my five closest friends and they all agree that the new Underwater Basketweaving Team Coach is a jerk, therefore I'm not trying out for the team"" IS an example of THIS fallacy.",faulty generalization,"""Tôi đã hỏi năm người bạn thân nhất và họ đều đồng ý rằng huấn luyện viên đội đan rổ dưới nước mới là kẻ tồi tệ, vì thế tôi sẽ không tham gia đội đó nữa"" là một ví dụ cho loại ngụy biện NÀY."
edu,"Dr. X is an engineer, and he doesn’t believe in global warming.",fallacy of credibility,"Tiến sĩ X là một kỹ sư, và ông ấy không tin vào sự nóng lên toàn cầu."
edu,Decriminalizing marijuana turns the U.S. into a stoner nation,faulty generalization,Việc hợp pháp hóa cần sa sẽ biến nước Mỹ thành một quốc gia toàn những kẻ phê pha.
edu,"""When my parents talk to me about how important it is to learn a second language, I remind them they didn't learn another language.",circular reasoning,"""Khi bố mẹ bảo tôi phải học thêm ngoại ngữ, tôi chỉ cần nhắc họ rằng chính họ cũng chẳng biết ngoại ngữ nào cả."
edu,"People generally like to walk on the beach. Beaches have sand. Therefore, having sand floors in homes would be a great idea!",fallacy of logic,"Mọi người thường thích đi dạo trên bãi biển. Bãi biển thì có cát. Thế nên, lát sàn nhà bằng cát là một ý tưởng tuyệt vời!"
edu,"Look, it doesn't matter whether or not you think America should build a wall on the border. The President thinks America should do it, so it's a good idea.",fallacy of credibility,"Này, việc cậu nghĩ Mỹ có nên xây tường ở biên giới hay không chẳng quan trọng. Tổng thống nghĩ là nên làm, nên đó là một ý tưởng hay."
edu,"Speaker 1: I really think we need to do something about the rising levels of poverty and homelessness in our country.
Speaker 2: Why are you worried about poverty? Look how many children we abort every day.",fallacy of relevance,Người 1: Tôi thực sự nghĩ chúng ta cần giải quyết tình trạng nghèo đói và vô gia cư đang gia tăng trong nước. Người 2: Sao cậu lại lo về nghèo đói? Nhìn xem mỗi ngày chúng ta phá thai bao nhiêu đứa trẻ kìa.
edu,"Mother: It’s bedtime Jane Jane: Mom, how do ants feed their babies? Mother: Don’t know dear, close your eyes now. Jane: But mama, do ant babies cry when they’re hungry?",fallacy of relevance,"Mẹ: Đến giờ đi ngủ rồi Jane. Jane: Mẹ ơi, kiến cho con của chúng ăn bằng cách nào ạ? Mẹ: Mẹ không biết đâu con yêu, nhắm mắt lại đi. Jane: Nhưng mẹ ơi, lũ kiến con có khóc khi chúng đói không ạ?"
edu,"All Catholics are Christian.
All Christians are Jesus lovers.
Therefore, all Jesus lovers are Catholic.",fallacy of logic,"Tất cả người Công giáo đều là Kitô hữu. Tất cả Kitô hữu đều là người yêu mến Chúa Jesus. Vậy nên, tất cả những người yêu mến Chúa Jesus đều là người Công giáo."
edu,"""You can't believe that theory. No one would believe that. It's too unbelievable.""",fallacy of relevance,Bạn không thể tin vào lý thuyết đó được. Chẳng có ai tin vào nó cả. Nó quá vô lý.
edu,"""The critical mission was horribly executed."" is an example of ...",appeal to emotion,"""Nhiệm vụ quan trọng đã bị thực hiện một cách tồi tệ"" là ví dụ của..."
edu,"All Paul Newman movies are great.
All great movies are Oscar winners.
Therefore, all Oscar winners are Paul Newman movies.",fallacy of logic,"Tất cả phim của Paul Newman đều tuyệt vời. Tất cả phim tuyệt vời đều thắng giải Oscar. Vậy nên, tất cả những phim thắng giải Oscar đều là phim của Paul Newman."
edu,"“The police should stop environmental demonstrators from inconveniencing the general public. We pay our taxes.”
“Surely global meltdown is infinitely worse than a little inconvenience?”",fallacy of relevance,“Cảnh sát nên ngăn những người biểu tình môi trường gây phiền toái cho công chúng. Chúng ta đã đóng thuế mà.” – “Chẳng lẽ sự nóng lên toàn cầu lại không tồi tệ hơn gấp vạn lần một chút phiền toái đó sao?”
edu,"“President Kumail raised taxes, and then the rate of violent crime went up. Kumail is responsible for the rise in crime.”",false causality,"“Tổng thống Kumail tăng thuế, và sau đó tỷ lệ tội phạm bạo lực tăng lên. Kumail phải chịu trách nhiệm cho sự gia tăng tội phạm này.”"
edu,"My friend said her Math class was hard, and the one I’m in is hard, too. All Math classes must be hard!",faulty generalization,"Bạn tôi bảo lớp Toán của cô ấy rất khó, và lớp của tôi cũng khó nốt. Vậy thì chắc chắn mọi lớp Toán đều khó rồi!"
edu,Studies show that it takes up to seven years for the human body to digest a piece of gum.,fallacy of credibility,Các nghiên cứu cho thấy cơ thể con người mất đến bảy năm để tiêu hóa một mẩu kẹo cao su.
edu,"Parent: I really don’t want you to smoke pot. It’s still illegal, and could get you into trouble.
Child: Didn’t you smoke pot when you were my age? You must not think it’s a big deal.",ad hominem,"Phụ huynh: Bố/mẹ thực sự không muốn con hút cần sa. Nó vẫn là bất hợp pháp và có thể khiến con gặp rắc rối. – Con: Chẳng phải hồi bằng tuổi con, bố/mẹ cũng hút sao? Chắc bố/mẹ thấy chuyện đó cũng chẳng to tát gì đâu nhỉ."
edu,Two words: New Coke.,fallacy of credibility,Hai từ thôi: New Coke.
edu,"You must obey the law, because it's illegal to break the law.",circular reasoning,"Bạn phải tuân thủ pháp luật, vì vi phạm pháp luật là hành vi bất hợp pháp."
edu,"""Four legs good, two legs bad""",ad populum,"Bốn chân tốt, hai chân xấu."
edu,"Gus is Christian or Gus is politically liberal.
Gus is a Christian.
Therefore, Gus is not politically liberal.",fallacy of logic,"Gus là người theo đạo Thiên Chúa hoặc Gus là người có tư tưởng tự do. Gus là người theo đạo Thiên Chúa. Suy ra, Gus không phải là người có tư tưởng tự do."
edu,If we get rid of assault weapons for citizens then we will also soon lose freedom of speech and all freedoms as other countries rush in to conquer us (if the zombies don’t exterminate us first!),faulty generalization,Nếu chúng ta tước bỏ vũ khí tấn công của dân thường thì chẳng bao lâu nữa chúng ta sẽ mất quyền tự do ngôn luận và tất cả các quyền tự do khác khi các quốc gia khác ồ ạt tiến vào xâm lược chúng ta (nếu lũ zombie không diệt chủng chúng ta trước!).
edu,"Supreme Court Justice Byron White was an All-American football player while in college, so how can you say that athletes are dumb?",faulty generalization,"Thẩm phán Tòa án Tối cao Byron White từng là vận động viên bóng bầu dục xuất sắc thời đại học, vậy làm sao bạn có thể nói rằng các vận động viên đều ngu ngốc?"
edu,"Jen: Don’t you realize that all this drinking you are doing is making your family miserable?
Bridget: Yes, I do.
Jen: Then what are you doing about it?
Bridget: Drinking to forget.
",false causality,"Jen: Bạn không nhận ra là việc bạn uống rượu suốt như vậy đang làm gia đình bạn khổ sở sao? Bridget: Có, tôi biết chứ. Jen: Vậy bạn đang làm gì để giải quyết vấn đề đó? Bridget: Tôi uống để quên đi."
edu,Aliens must exist because most people believe in them.,ad populum,Người ngoài hành tinh chắc chắn phải tồn tại vì hầu hết mọi người đều tin vào điều đó.
edu,"Of course the Senator from Maine opposes a reduction in naval spending. After all, Bath Ironworks, which produces warships, is in Maine.",ad hominem,"Tất nhiên là vị Thượng nghị sĩ bang Maine phản đối việc cắt giảm chi tiêu hải quân rồi. Suy cho cùng thì nhà máy Bath Ironworks, nơi sản xuất tàu chiến, lại nằm ngay ở Maine mà."
edu,"""If you don't get an A in Mr. K's class you will fail high school, never graduate, and end up fighting people for nickels under freeway as a career""",faulty generalization,"Nếu bạn không đạt điểm A trong lớp của thầy K thì bạn sẽ trượt cấp ba, không bao giờ tốt nghiệp được và rồi sẽ phải đi đánh nhau giành từng đồng xu lẻ dưới gầm cầu để mưu sinh."
edu,"I heard that the Catholic Church was involved in a sex scandal cover-up.  Therefore, my 102-year-old Catholic neighbor, who frequently attends Church, is guilty as well!",faulty generalization,"Tôi nghe nói Giáo hội Công giáo có liên quan đến việc che đậy một vụ bê bối tình dục. Vì vậy, người hàng xóm 102 tuổi theo đạo Công giáo và thường xuyên đi lễ nhà thờ của tôi cũng là kẻ tội đồ!"
edu,"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?

Ken: But what is morality exactly?

Mike: It’s a code of conduct shared by cultures.

Ken: But who creates this code?...",fallacy of relevance,"Mike: Ngoại tình là sai trái về mặt đạo đức, tại sao cậu lại làm thế chứ?

Ken: Nhưng đạo đức chính xác là gì cơ chứ?

Mike: Đó là bộ quy tắc ứng xử chung của các nền văn hóa.

Ken: Nhưng ai là người tạo ra bộ quy tắc này?..."
edu,"I think that we should reject what Father Jones has to say about the ethical issues of abortion because he is a Catholic priest. After all, Father Jones is required to hold such views",ad hominem,"Tôi nghĩ chúng ta nên bác bỏ những gì Cha Jones nói về các vấn đề đạo đức của việc phá thai vì ông ấy là một linh mục Công giáo. Suy cho cùng, Cha Jones bắt buộc phải giữ những quan điểm như vậy thôi."
edu,"Speaker 1: You should trust the Bible because it’s the Word of God.
Speaker 2: How do you know it’s the Word of God?
Speaker 1: Because God tells us it is.
Speaker 2: Where does God tell us this?
Speaker 1: Right here, in the Bible.",circular reasoning,"Diễn giả 1: Bạn nên tin vào Kinh Thánh vì đó là Lời của Chúa.
Diễn giả 2: Làm sao bạn biết đó là Lời của Chúa?
Diễn giả 1: Vì Chúa bảo chúng ta thế.
Diễn giả 2: Chúa nói điều đó ở đâu?
Diễn giả 1: Ngay tại đây, trong Kinh Thánh."
edu,If you don't say the Pledge of Allegiance you are a traitor.,false dilemma,"Nếu bạn không đọc Lời thề trung thành, bạn là kẻ phản quốc."
edu,"I have flipped heads five times in a row.  As a result, the next flip will probably be tails.",false causality,Tôi đã tung đồng xu ra mặt ngửa năm lần liên tiếp rồi. Kết quả là lần tung tiếp theo chắc chắn sẽ ra mặt sấp.
edu,blame opponent's policy for the country's problems,false causality,đổ lỗi cho chính sách của đối thủ vì các vấn đề của đất nước
edu,"Don't be out-dated and un-fashionable! Buy the new, modern double-lined heavy duty jeans - the old ripped jeans of the past are out!",intentional,Đừng để bị lỗi thời và kém sang! Hãy mua ngay loại quần jeans hai lớp siêu bền đời mới - mấy cái quần rách cũ kỹ của quá khứ hết thời rồi!
edu,A commercial claims that a specific brand of cereal is the best way to start the day because athlete Michael Jordan says that it is what he eats every day for breakfast.,fallacy of credibility,Một quảng cáo khẳng định rằng một thương hiệu ngũ cốc cụ thể là cách tốt nhất để bắt đầu ngày mới vì vận động viên Michael Jordan nói rằng đó là món anh ấy ăn mỗi sáng.
edu,A misrepresentation of an opponent’s position that makes it easier to argue against,fallacy of extension,Sự xuyên tạc quan điểm của đối thủ để dễ dàng phản bác hơn
edu,We as the Board can either choose to approve this initial public offering or we can suffer slow annihilation at the hands of our competitors.,false dilemma,"Hội đồng chúng ta chỉ có hai lựa chọn: hoặc là phê duyệt đợt phát hành cổ phiếu lần đầu ra công chúng này, hoặc là chịu cảnh bị đối thủ đè bẹp dần dần đến chết."
edu,Plagiarism is deceitful because it is dishonest.,circular reasoning,Đạo văn là hành vi dối trá vì nó không trung thực.
edu,"Bert: How do eyes project an image to your brain?
Ernie: Think of it as a little guy in your brain watching the movie projected by your eyes.
Bert: Ok, but what is happening in the little guy in your head’s brain?
Ernie: Well, think of it as a little guy in his brain watching a movie...
",circular reasoning,"Bert: Làm thế nào mắt chiếu hình ảnh lên não bộ của cậu được nhỉ?
Ernie: Cứ hình dung có một gã tí hon trong não cậu đang xem bộ phim từ mắt chiếu tới.
Bert: Được rồi, thế cái gì đang diễn ra trong não của gã tí hon đó?
Ernie: Chà, cứ coi như lại có một gã tí hon khác trong não hắn đang xem phim..."
edu,or group in order to discredit an idea with which the person or group is associated; distracts the reader from the real issue,ad hominem,hoặc một nhóm người nhằm mục đích hạ thấp uy tín của một quan điểm mà cá nhân hay nhóm đó có liên quan; làm người đọc xao nhãng khỏi vấn đề cốt lõi
edu,"Allowing overnight guests in the dorm rooms will lead to nothing but trouble: promiscuity, teen pregnancy, and eventually, a bunch of unwed mothers on campus, trying to complete their degrees while raising a child.",faulty generalization,"Cho phép khách ở lại qua đêm trong ký túc xá sẽ chỉ dẫn đến rắc rối mà thôi: lối sống buông thả, mang thai ở tuổi vị thành niên, và cuối cùng là hàng loạt bà mẹ đơn thân trong trường, vừa cố gắng hoàn thành việc học vừa phải nuôi con nhỏ."
edu,"I don’t care what scientists say, my mother always told me that the world is flat, and she would never lie to me!",fallacy of credibility,"Tôi không quan tâm các nhà khoa học nói gì, mẹ tôi luôn bảo thế giới này phẳng, và bà ấy thì không bao giờ nói dối tôi cả!"
edu,"You should eat more green leafy vegetables, because Ms. Lord says so, and she is an expert on grammar and vocabulary.",fallacy of credibility,"Bạn nên ăn nhiều rau xanh lá vì cô Lord bảo thế, mà cô ấy là chuyên gia về ngữ pháp và từ vựng cơ mà."
edu,Paranormal activity is real because I've seen a ghost.,circular reasoning,Các hiện tượng huyền bí là có thật vì chính tôi đã từng thấy ma.
edu,"My mother always told me that if I went outside right after bathing, during winter, I would catch pneumonia.",faulty generalization,"Mẹ tôi luôn bảo rằng nếu tôi đi ra ngoài ngay sau khi tắm vào mùa đông, tôi sẽ bị viêm phổi đấy."
edu,"occurs when your opponent over-simplifies or misrepresents your argument (i.e., setting up a ""straw man"") to make it easier to attack or refute",fallacy of extension,"xảy ra khi đối thủ của bạn đơn giản hóa quá mức hoặc xuyên tạc lập luận của bạn (tức là dựng lên một ""bù nhìn rơm"") để dễ dàng tấn công hoặc bác bỏ hơn"
edu,We cannot support immigrants because we have too many homeless and poor Americans.,false dilemma,Chúng ta không thể ủng hộ người nhập cư vì chúng ta còn quá nhiều người Mỹ vô gia cư và nghèo đói.
edu,"Consider the following exchange:
Omar: I think capital punishment is a necessary component of our justice system and should remain legal.
Kayla: So you are saying that murder should be legal and it is okay for us to go around killing people just because we think they deserve it? That isn't right.
Of what fallacy is Kayla guilty?",fallacy of extension,Hãy xem xét cuộc trao đổi sau: Omar: Tôi nghĩ án tử hình là một phần cần thiết của hệ thống tư pháp và nên giữ nguyên tính hợp pháp. Kayla: Vậy ý bạn là giết người nên được hợp pháp hóa và việc chúng ta cứ đi giết người chỉ vì chúng ta nghĩ họ đáng bị như vậy là ổn sao? Điều đó thật không đúng. Kayla đã mắc phải ngụy biện gì?
edu,"Sometimes flu vaccines don’t work, therefore vaccines are useless.",faulty generalization,"Đôi khi vắc-xin cúm không có tác dụng, suy ra vắc-xin là vô dụng."
edu,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
",appeal to emotion,"Timmy: Mẹ ơi, nếu con không tin vào Chúa thì sao ạ? Mẹ: Vậy thì con sẽ bị thiêu cháy trong địa ngục mãi mãi. Tại sao con lại hỏi như vậy? Timmy: Không có gì ạ."
edu,"""People generally like to walk on the beach. Beaches have sand. Therefore, having sand floors in homes would be a great idea!""",fallacy of logic,"Mọi người thường thích đi dạo trên bãi biển. Bãi biển thì có cát. Do đó, làm sàn nhà bằng cát ở trong nhà là một ý tưởng tuyệt vời!"
edu,"Sugar is an essential component of the body...a key material in all sorts of metabolic processes,' neglecting the fact that it is glucose (blood sugar) not ordinary table sugar (sucrose) that is the vital nourishment.",equivocation,"Đường là một thành phần thiết yếu của cơ thể... một nguyên liệu quan trọng trong mọi quá trình trao đổi chất, bỏ qua sự thật rằng đó là glucose (đường huyết) chứ không phải đường ăn thông thường (sucrose) vốn là chất dinh dưỡng cần thiết."
edu,"Angus declares that Scotsmen do not put sugar on their porridge, to which Lachlan points out that he is a Scotsman and puts sugar on his porridge. Furious, like a true Scot, Angus yells that no true Scotsman sugars his porridge.",intentional,"Angus tuyên bố rằng người Scotland không cho đường vào cháo của họ, và Lachlan chỉ ra rằng anh ta là người Scotland và anh ta có cho đường vào cháo. Giận dữ, như một người Scotland chân chính, Angus hét lên rằng không một người Scotland chân chính nào lại cho đường vào cháo của họ cả."
edu,Discoveries from Archimedes should be dismissed because he made them in a bathtub and not a proper university laboratory.,ad hominem,Những khám phá của Archimedes nên bị bác bỏ vì ông ấy thực hiện chúng trong bồn tắm chứ không phải trong phòng thí nghiệm của trường đại học đúng chuẩn.
edu,"""Andrea Starkk has written several books arguing that the media harms women when it comes to body image. But Starkk is an ugly, bitter person, so you shouldn't listen to her.""",ad hominem,"Andrea Starkk đã viết nhiều cuốn sách lập luận rằng truyền thông gây hại cho phụ nữ về mặt hình ảnh cơ thể. Nhưng Starkk là một kẻ xấu xí, cay nghiệt, nên bạn không nên nghe lời cô ta."
edu,"""A baseball pitcher bought new socks before he pitched a winning game. The new socks caused a pitcher to throw faster! He will wear the new socks for EVERY game now.""

This is an example of...",false causality,Một vận động viên ném bóng chày đã mua tất mới trước khi ném một trận thắng. Đôi tất mới đã khiến vận động viên ném bóng nhanh hơn! Anh ấy sẽ mặc đôi tất mới đó cho MỌI trận đấu từ bây giờ. Đây là ví dụ của...
edu,"""That politician wants you to think he loves America. His last rally had 20 American flags flying behind him"" IS an example of this fallacy.",ad populum,Vị chính trị gia đó muốn bạn nghĩ rằng ông ta yêu nước Mỹ. Cuộc mít tinh gần đây nhất của ông ta có 12 lá cờ Mỹ bay phấp phới phía sau. ĐÂY là ví dụ của ngụy biện này.
edu,This fallacy is a distraction from the argument typically with some sentiment that seems to be relevant but isn’t really on-topic.,fallacy of relevance,"Ngụy biện này là một chiêu trò đánh lạc hướng khỏi vấn đề chính, thường dùng những cảm xúc có vẻ liên quan nhưng thực chất chẳng ăn nhập gì với chủ đề."
edu,"Power lines cause cancer. I met a little boy with cancer who lived just 20 miles from a power line who looked into my eyes and said, in his weak voice, “Please do whatever you can so that other kids won’t have to go through what I am going through.” I urge you to vote for this bill to tear down all power lines and replace them with monkeys on treadmills.",appeal to emotion,"Đường dây điện gây ung thư đấy. Tôi đã gặp một cậu bé bị ung thư sống cách đường dây điện 20 dặm, nhóc ấy nhìn thẳng vào mắt tôi và thều thào: 'Hãy làm bất cứ điều gì để các bạn khác không phải trải qua cảnh này.' Vậy nên tôi khẩn cầu các vị hãy bỏ phiếu cho dự luật phá bỏ toàn bộ đường dây điện và thay bằng lũ khỉ chạy trên máy tập."
edu,“I sneezed exactly at the same time the power went off. My sneeze must’ve done something to make the power go off. “,false causality,Tôi hắt xì đúng lúc điện mất. Chắc chắn cú hắt xì của tôi đã làm hỏng hệ thống điện rồi.
edu,A commercial about abandoned animals needing shelter or a forever home. They ask for a small donation to help these struggling animals.,appeal to emotion,Một quảng cáo về những con vật bị bỏ rơi đang cần nơi trú ẩn hoặc một mái ấm vĩnh viễn. Họ kêu gọi một khoản quyên góp nhỏ để giúp những con vật đáng thương này.
edu,"Melvin: Boss, why do I have to work weekends when nobody else in the company does?
Boss: Am I sensing insubordination?  I can find another employee very quickly, thanks to Craigslist, you know.
",appeal to emotion,"Melvin: Sếp ơi, tại sao em phải làm cuối tuần trong khi chẳng có ai khác trong công ty phải làm vậy ạ?
Sếp: Cậu đang định chống đối tôi đấy à? Cậu biết đấy, nhờ có Craigslist mà tôi có thể tìm nhân viên thay thế cậu nhanh trong một nốt nhạc."
edu,"Salesman: This car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports.
Will: I doubt it—you obviously just want to sell me that car.
",ad hominem,"Người bán hàng: Chiếc xe này tiết kiệm nhiên liệu hơn mức trung bình và là một trong những mẫu xe đáng tin cậy nhất theo đánh giá của Consumer Reports.
Will: Tôi chẳng tin đâu, anh chỉ đang cố chèo kéo để bán chiếc xe đó cho tôi thôi."
edu,President Reagan was a great communicator because he had the knack of talking effectively to the people.,circular reasoning,Tổng thống Reagan là một nhà truyền thông đại tài vì ông ấy có khiếu nói chuyện rất hiệu quả với công chúng.
edu,"Ms. Long has suggested that our schools let students take statistics instead of algebra to graduate. Frankly, it is puzzling to me that she thinks algebra is a useless subject.",fallacy of extension,"Cô Long đề xuất rằng trường chúng ta nên cho học sinh học thống kê thay vì đại số để tốt nghiệp. Thú thực, tôi thấy thật khó hiểu khi cô ấy lại cho rằng đại số là một môn học vô dụng."
edu,Naima is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Naima concludes that the cat's scratch must be the cause of her illness.,false causality,"Naima bị mèo cào khi đến thăm nhà bạn. Hai ngày sau, cô ấy bị sốt. Naima kết luận rằng vết cào của con mèo chính là nguyên nhân gây ra bệnh của cô ấy."
edu,"Speaker 1: I think it’s terrible that a game hunter killed Cecil the lion.
Speaker 2: What about all the babies that are killed every day by abortion?",fallacy of relevance,"Người 1: Tôi thấy thật tồi tệ khi một tay săn bắn lại giết chết con sư tử Cecil.
Người 2: Thế còn hàng triệu đứa trẻ bị giết mỗi ngày vì nạo phá thai thì sao?"
edu,"Boris is not qualified to make suggestions about our penal system. As an ex-convict, he would always take the criminals’ side.",ad hominem,"Boris không đủ tư cách để đưa ra ý kiến về hệ thống tư pháp của chúng ta. Là một cựu tù nhân, chắc chắn anh ta sẽ luôn đứng về phía tội phạm thôi."
edu,"Because you found something difficult to understand, or are unaware of how it works, you made out like it is probably not true.",intentional,"Vì cậu thấy khó hiểu hoặc không biết nó hoạt động thế nào, nên cậu cứ khăng khăng là nó không có thật."
edu,"Pastor Pete: People are turning to God everywhere!  9 out of 10 people I interviewed said that they had a personal relationship with Jesus Christ.
Fred: Where did you find these people you interviewed?
Pastor Pete: In my church.",faulty generalization,Mục sư Pete: Mọi người đang hướng về Chúa ở khắp nơi! 9 trên 10 người tôi phỏng vấn nói rằng họ có mối quan hệ cá nhân với Chúa Jesus. Fred: Ông phỏng vấn những người đó ở đâu vậy? Mục sư Pete: Ở trong nhà thờ của tôi.
edu,"When someone says, ""Either schools need to fully open immediately and no students should wear masks or all teachers are Communists!""",false dilemma,"Khi ai đó nói rằng: ""Hoặc là các trường học phải mở cửa hoàn toàn ngay lập tức và học sinh không được đeo khẩu trang, hoặc tất cả giáo viên đều là Cộng sản!"""
edu,"Farmer McDonald: Ever since they put up that new power plant across the river, we haven't had a bit of rain. I'm tellin' you, mankind has got too big for its britches when it fiddles around with nature.",false causality,"Nông dân McDonald: Kể từ khi họ xây nhà máy điện mới bên kia sông, chúng ta chẳng có lấy một giọt mưa. Tôi nói cho mà nghe, loài người đã quá kiêu ngạo khi dám can thiệp vào tự nhiên rồi."
edu,"My doctor is overweight, so I don't believe anything he tells me about improving my health.",ad hominem,"Bác sĩ của tôi bị béo phì, nên tôi chẳng tin bất cứ lời khuyên nào của ông ta về việc cải thiện sức khỏe cả."
edu,"Even without watching the movie, I just know that it would not be as good as the book.",faulty generalization,Dù chưa xem phim nhưng tôi biết chắc là nó sẽ không bao giờ hay bằng sách gốc.
edu,Bob Jones is a monster who likes to separate immigrant families in detention centers. How could you vote for someone like that??,fallacy of extension,Bob Jones là một con quái vật thích chia cắt các gia đình nhập cư trong các trung tâm giam giữ. Làm sao bạn có thể bầu cho một kẻ như thế chứ??
edu,"""People who don't support the proposed state minimum wage increase hate the poor.""",fallacy of extension,Những người không ủng hộ đề xuất tăng lương tối thiểu của bang là những kẻ ghét người nghèo.
edu,You can't believe Bob's idea. He's a socialist.,ad hominem,Bạn không thể tin vào ý tưởng của Bob được. Hắn ta là một kẻ theo chủ nghĩa xã hội.
edu,You are either a leader or a follower.,false dilemma,"Bạn hoặc là người lãnh đạo, hoặc là kẻ đi theo."
edu,"Joseph can’t be class president, he’s poor!”",ad hominem,"Joseph không thể làm lớp trưởng được, cậu ta nghèo lắm!"
edu,My opponent argues that we should abolish the soda tax. It's a shame that he wants to encourage people to eat and drink unhealthily. I say we keep it.,fallacy of extension,Đối thủ của tôi lập luận rằng nên bãi bỏ thuế đồ uống có đường. Thật đáng buồn khi anh ta lại muốn khuyến khích mọi người ăn uống thiếu lành mạnh. Tôi khẳng định chúng ta phải giữ mức thuế đó.
edu,"""Because I forgot to leave my porch light on, someone robbed my house.""",false causality,"Vì tôi quên bật đèn ngoài hiên, nên nhà tôi mới bị trộm."
edu,Some people say that the coronavirus is dangerous. Others say that it is not dangerous. That must mean that some coronavirus vaccinations are fine while others are not.,fallacy of relevance,"Một số người bảo virus corona rất nguy hiểm, người khác lại bảo không. Điều đó có nghĩa là một số loại vắc-xin corona thì ổn còn số khác thì không."
edu,Eating five candy bars and drinking two sodas before a test helps me get better grades. I did that and got an A on my last test in history.,false causality,Ăn năm thanh kẹo và uống hai lon soda trước khi kiểm tra giúp tôi có điểm tốt hơn. Tôi đã làm thế và vừa đạt điểm A môn lịch sử đấy.
edu,This happens when you assume that something is acceptable just because it is very common.,ad populum,Đây là kiểu lập luận mặc định rằng cái gì đó là chấp nhận được chỉ vì nó phổ biến.
edu,"If I don’t take this A.P. class, then I won’t do well on the exam. If I don’t do well on the A.P. exam, then I can’t get into a good college. If I can’t get into a good college, then I’ll never get a good job. If I can’t get a good job, then I’m going to have to live in my parents’ basement forever. Guess I’ll sign up for the A.P. class.",faulty generalization,"Nếu mình không học lớp nâng cao A.P. này, mình sẽ làm bài thi không tốt. Nếu làm bài không tốt, mình sẽ không vào được đại học xịn. Nếu không vào được đại học, mình sẽ không bao giờ có công việc tốt. Nếu không có công việc tốt, mình sẽ phải sống bám dưới tầng hầm nhà bố mẹ mãi mãi. Thôi, đăng ký học lớp A.P. cho chắc."
