topic,argument,key_point,stance,label
We should end the use of economic sanctions,economic sanctions keep businesses in line.,economic sanctions are designed to destroy dictators and violators of human rights,-1,0
We should end the use of economic sanctions,economic sanctions keep other countries from building up arsenals and help to protect people.,economic sanctions are designed to destroy dictators and violators of human rights,-1,0
We should end the use of economic sanctions,economic sanctions make items made in foreign countries and shipped here more affordable for struggling americans.,economic sanctions are designed to destroy dictators and violators of human rights,-1,0
We should end the use of economic sanctions,economic sanctions must be retained as it is the only way in which dishonest countries can be made to mend their ways.,economic sanctions are designed to destroy dictators and violators of human rights,-1,0
We should end the use of economic sanctions,economic sanctions offer an effective way to deal with international conflict which does not involve military action.,economic sanctions are designed to destroy dictators and violators of human rights,-1,0
We should end the use of economic sanctions,economic sanctions only hurt our economy by taking money out of it.,economic sanctions harm innocent people,1,0
We should end the use of economic sanctions,economic sanctions only hurt productivity.,economic sanctions harm innocent people,1,0
We should end the use of economic sanctions,economic sanctions only hurt the general population of a country and not the people who are running it,economic sanctions harm innocent people,1,1
We should end the use of economic sanctions,economic sanctions only hurt the normal working class citizens,economic sanctions harm innocent people,1,1
We should end the use of economic sanctions,economic sanctions only hurt the people of the country and never the regime that is being sanctioned.,economic sanctions harm innocent people,1,1
We should end the use of economic sanctions,economic sanctions only hurt those at the bottom of society and foster further friction with countries we should be trying to find a more diplomatic solution with.,economic sanctions harm innocent people,1,1
We should end the use of economic sanctions,economic sanctions provide an easy way to protest and can easily be reversed when situations change.,economic sanctions are designed to destroy dictators and violators of human rights,-1,0
We should end the use of economic sanctions,economic sanctions punish innocent civilians who have no control over the actions of their government so should be abolished.,economic sanctions harm innocent people,1,1
We should end the use of economic sanctions,economic sanctions should be ended as it usually tends to make life harder for the innocent poor citizens who have no idea about what's going on,economic sanctions harm innocent people,1,1
We should end the use of economic sanctions,economic sanctions should be ended because they are cruel and they don't work. sanctions harm ordinary citizens including the poor of these countries which is inhumane.,economic sanctions harm innocent people,1,1
We should end the use of economic sanctions,economic sanctions should not be used because they are too often used for political reasons and not the economic ones they're meant for,economic sanctions harm innocent people,1,0
We should end the use of economic sanctions,economic sanctions shouldn't be ended because it helps keep most countries in order,economic sanctions are designed to destroy dictators and violators of human rights,-1,0
We should end the use of economic sanctions,economic sanctions take a long time to work and events can be developing too quickly for them to be a viable option,economic sanctions harm innocent people,1,0
We should end the use of economic sanctions,economic sanctions usually do not prove to be effective and tend to cause hard feelings between the countries involved.,economic sanctions harm innocent people,1,0
We should end the use of economic sanctions,economic sanctions work when a country relies on exports for most of their wealth,economic sanctions are designed to destroy dictators and violators of human rights,-1,0
We should end the use of economic sanctions,economic sanctions works and gives lessons to those countries that don't follow rules.,economic sanctions are designed to destroy dictators and violators of human rights,-1,0
We should subsidize student loans,"education is expensive, and subsizing student loans encourages an academic career path, creating individuals who typically go on to contribute more to the economy via higher paid jobs.",student loans are made to keep students in long term debt.,1,0
We should subsidize student loans,education is important to ensure the continued progress of humanity and to move humanity forwards; for this reason we should subsidise loans for students.,student loans are made to keep students in long term debt.,1,0
We should subsidize student loans,"education is so expensive, we should subsidize it to ensure it is accessible for all.",student loans are made to keep students in long term debt.,1,0
We should end the use of economic sanctions,embargo could negatively affect the economy of the imposing country,economic sanctions harm innocent people,1,0
We should end the use of economic sanctions,ending sanctions will stop uneeded fees.,economic sanctions harm innocent people,1,0
We should end the use of economic sanctions,ending the use of economic sanctions will help the  population who suffer as a result of them.   governments do not seem to worry too much about sanctions.,economic sanctions harm innocent people,1,1
Entrapment should be legalized,entrapment aids the police where they have a good reason to suspect a culprit but the criminal activity would otherwise be difficult to detect,entrapment can get criminals off the street,1,0
Entrapment should be legalized,entrapment allows for the easy arrest of criminals,entrapment can get criminals off the street,1,1
Entrapment should be legalized,entrapment can be a useful tool in proving that someone is guilty of a crime when traditional methods have failed.,entrapment can get criminals off the street,1,0
Entrapment should be legalized,entrapment can cause a person to do something they would not normally do and should not be allowed.,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment can end with the wrong person arrested,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment can help rid our society of criminals and therefore should be legalized,entrapment can get criminals off the street,1,1
Entrapment should be legalized,entrapment can help to remove violent criminals from society and should therefore be legalised.,entrapment can get criminals off the street,1,1
Entrapment should be legalized,entrapment can lead to arrest of a person who was in the wrong place at the wrong time or unknowing they have done something wrong.,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment can make a person do something which in other circumstances they may not have done.,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment causes more criminals to be caught and taken off the streets.,entrapment can get criminals off the street,1,1
Entrapment should be legalized,entrapment could lead an innocent person to commit a crime based on a misunderstanding.,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment enables law enforcement officers to better remove criminals from the streets,entrapment can get criminals off the street,1,1
Entrapment should be legalized,entrapment essentially allows police to arrest anyone at any time for no reason,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment helps capture criminals that are evading the law and capture and entrapment would be the only solution to catch the perpetrators.,entrapment can get criminals off the street,1,1
Entrapment should be legalized,entrapment involves the police in deception and dishonesty and brings the justice system into disrepute,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment is a breach of individual rights,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment is a good tool for law enforcement to have in their box of tricks.  it allows a known criminal to be caught much easier.,entrapment can get criminals off the street,1,0
Entrapment should be legalized,"entrapment is a manipulative practice, those prosecuted through it may never have committed criminal activities without the manipulation of entrapment",entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,"entrapment is a tool that, when used fairly, only catches individuals in the act doing what they would do regardless of the involvement of the police",entrapment can get criminals off the street,1,0
Entrapment should be legalized,entrapment is a valid tactic to remove criminal offenders from the streets,entrapment can get criminals off the street,1,1
Entrapment should be legalized,"entrapment is an easy way to prove that someone has committed crimes in the past, by baiting them into committing another one.",entrapment can get criminals off the street,1,1
Entrapment should be legalized,entrapment is considered a crime that is previously committed by the police and you are forced to continue the crime.,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment is illegal under the constitution,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment is immoral as a way of decieving one for punishment,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,"entrapment is in essence encouraging a crime, and as such is surely indirectly a criminal offence in itself.",entrapment encourages people to commit crimes.,-1,1
Entrapment should be legalized,entrapment is morally wrong and is against human rights and should not be legalized.,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,"entrapment is simply giving criminals an opportunity to commit a crime, in a way that allows law enforcement to easily catch them.",entrapment can get criminals off the street,1,0
Entrapment should be legalized,entrapment is sometimes the only way to catch sly criminals,entrapment can get criminals off the street,1,1
Entrapment should be legalized,entrapment is unfair and often has the wrong results.,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment is unfair and often tempts people into committing crimes they normally would not have,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment is unfair and startles drivers at the last minute.,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment is unfair and uses low and unfair tactics to trick people into committing crimes.,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment is unfair to people who would not otherwise commit crimes it should remain illegal,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment just encourages criminal activity that may not have otherwise have occurred,entrapment encourages people to commit crimes.,-1,1
Entrapment should be legalized,entrapment leads to police abuse or to extort citizens,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment makes it easier to catch criminals,entrapment can get criminals off the street,1,1
Entrapment should be legalized,entrapment should be considered as legal as giving huge benefit for safe and secure society.,entrapment can get criminals off the street,1,1
Entrapment should be legalized,entrapment should be legal because it is a good way to ensure that a criminal is caught and prosecuted.,entrapment can get criminals off the street,1,1
Entrapment should be legalized,"entrapment should be legalized because better evidence leads to shorter trials, which means less time spent in jail for the accused before trial.",entrapment can get criminals off the street,1,0
Entrapment should be legalized,"entrapment should be legalized because in some cases, it's the only way to verify that criminal activity is taking place.",entrapment can get criminals off the street,1,0
Entrapment should be legalized,"entrapment should be legalized because it can be used in a responsible way, even if it hasn't always been in the past.",entrapment can get criminals off the street,1,0
Entrapment should be legalized,entrapment should be legalized because it gets a lot of the bad guys off the streets,entrapment can get criminals off the street,1,1
Entrapment should be legalized,entrapment should be legalized because it helps catches criminals and puts them behind bars.,entrapment can get criminals off the street,1,1
Entrapment should be legalized,entrapment should be legalized because it is a way to catch potential criminals,entrapment can get criminals off the street,1,1
Entrapment should be legalized,entrapment should be legalized because it is arbitrary to ban this one type of evidence.,entrapment can get criminals off the street,1,0
Entrapment should be legalized,entrapment should be legalized because people should be aware at all times and only obey rules when law enforcement is in site.,entrapment can get criminals off the street,1,0
Entrapment should be legalized,entrapment should be legalized in order to preserve police resources and prosecute criminals more efficiently.,entrapment can get criminals off the street,1,0
Entrapment should be legalized,"entrapment should be legalized in order to specifically go after people who target children or other vulnerable groups, who would be hard to catch otherwise.",entrapment can get criminals off the street,1,0
Entrapment should be legalized,entrapment should not be allowed as it entices people to act in an unnatural way as a result of enticements of the police,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment should not be legalized because it creates an imbalance in favor of prosecutors.,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment should not be legalized because it gives too much power to certain people such as those who are working law enforcement.,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,"entrapment should not be legalized because it is not necessary for the police to do their job, so we should defer to not infringing on people's freedom by entrapping them.",entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment should not be legalized because it is unethical to promote unethical behavior.,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment should not be legalized because it will lead to many false convictions.,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment should not be legalized because police will focus on easy convictions rather than finding other criminals.,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment shouldn't be legalized because a lot of times it leads to false confessions from people.,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment shouldn't be legalized because it may end up getting wrong people in trouble,entrapment encourages people to commit crimes.,-1,0
Entrapment should be legalized,entrapment would make it a lot easier to catch criminals,entrapment can get criminals off the street,1,1
We should adopt a zero-tolerance policy in schools,even good people make mistakes so zero-tolerance is an unfair policy.,zero tolerance policies can disrupt the lives of students,-1,0
The use of public defenders should be mandatory,"every citizen has the right to some form of legal defense, and the use of public defenders is a guarantee of this fundamental, democratic position.",public defenders help low income people defend themselves.,1,0
We should subsidize student loans,everyone deserves a chance of a good education even if they can not afford the schooling.,student loans are made to keep students in long term debt.,1,0
The use of public defenders should be mandatory,everyone has a right to representation if they are unable to afford it themselves,public defenders help low income people defend themselves.,1,1
We should ban cosmetic surgery,everyone has the right to alter their bodies or appearances in which ever way makes them feel comfortable and at ease.,cosmetic surgery enhances the confidence of life,-1,0
We should adopt a zero-tolerance policy in schools,everyone makes mistakes and should be given a second chance which zero-tolerance policies will not allow.,zero tolerance policies can disrupt the lives of students,-1,0
The use of public defenders should be mandatory,everyone should have the right to choose who represents them in a court,public defenders have too many cases to properly represent defendants,-1,0
The use of public defenders should be mandatory,everyone should have the same level of legal council.,public defenders help low income people defend themselves.,1,0
We should ban cosmetic surgery,far too much is spent correcting bad surgery,a mistake could cause permanent disfigurement of a person,1,0
We should ban cosmetic surgery,"for some people who suffer from poor self esteem, cosmetic surgery can offer hope.",cosmetic surgery enhances the confidence of life,-1,1
We should ban cosmetic surgery,"for some people, having cosmetic surgery can be essential to boost confidence levels and their self-image. for example people who were born with deformations, accidents, etc",cosmetic surgery enhances the confidence of life,-1,1
The use of public defenders should be mandatory,forcing everyone to use a public defender would prevent wealthier people from hiring top lawyers that wrongfully give them a better chance of winning in court.,public defenders help low income people defend themselves.,1,0
Foster care brings more harm than good,foster care allows a child to be removed from a potentially bad situation which is a very good thing.,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,foster care brings more good than harm it helps children in dire needs who otherwise die out on the street.,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,foster care brings more harm than good because many foster parents are in it for the money instead of actually caring for the children,many foster parents are into this for financial gain only.,1,1
Foster care brings more harm than good,foster care brings more harm then good because unless they adopt you then they will forget about you just like your original family,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care brings stability into the child life.,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,foster care can be horrible for the child when moving from home to home and never settling down in one place.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care can be very difficult for the child moving from him to home.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,"foster care can be very temporary in duration, and uprooting a child can cause emotional damage and unnecessary dislocation.",many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care can bring hope to children that are left with no family to love and support them.,"foster care  give a child an opportunity for change, happiness and growth",-1,1
Foster care brings more harm than good,foster care can cause serious mental and emotional trauma for those in the system,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,"foster care can give an unwanted, unloved, abused or neglected child the love and nurturing every child deserves.","foster care  give a child an opportunity for change, happiness and growth",-1,1
Foster care brings more harm than good,foster care can help provide a young person a stable environment so they can grow & flourish in a normal home setting,"foster care  give a child an opportunity for change, happiness and growth",-1,1
Foster care brings more harm than good,foster care can leave kids with behavioral problems,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care can provide very good homes to children in need.,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,foster care can put vulnerable children in contact with other children who have a criminal background.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care can reinforce feelings of uncertainty and instability,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care can save children from diabolical situations at home.,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,foster care children are more likely to be treated poorly and develop mental disorders,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,"foster care children may have many adverse outcomes that persist throughout childhood, such as poor peer relationships, behavioral problems, or other mental health difficulties",many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,"foster care children often slip through the cracks and do not receive the care they need to become healthy, functioning adults when they age out of the system.",many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care creates an environment where the child cannot form a meaningful relationship because of the ever changing situations.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care creates socially withdrawn children since they go from family to family,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care does not provide the same level of care and support like being at home with your own family.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care doesn't guarantee a close relationship and can cause neglect to the child.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care gives children who do not have a proper home environment a chance to thrive.,"foster care  give a child an opportunity for change, happiness and growth",-1,1
Foster care brings more harm than good,foster care has mostly bought medical problems to the children and lead to many deaths.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care helps remove children from a dangerous environment and puts then in a safe place.,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,"foster care homes typically have a massive number of children, making meaningful, individual care impossible.",many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,"foster care is an unstable environment for kids, so that they never feel truly accepted or safe.",many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care is important because it keeps kids from living in large group care facilities where there is no semblance of a normal life.,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,foster care is much more personalized than institutions and can provide much better cate,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,"foster care is not good , because children are often bounced around from several different homes during their time in foster care & never become settled & stable",many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care is rarely a good place for children.  they're shuffled from home to home with little to no real connection or possessions.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care is run by people trying to make a profit rather than protect children.,many foster parents are into this for financial gain only.,1,1
Foster care brings more harm than good,foster care is terrible because the kids are often treated poorly because the foster parents don't buy healthy food and take great care of them. the harms outweigh the benefits.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care is the best option for children needing to not be with their own family.  they're far superior to a group home setting.,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,foster care is the only chance some children have for a safe and stable home environment.,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,foster care is valuable in protecting vulnerable children from harm,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,foster care isn't a bad thing because it gives children a safe and temporary place to go.,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,"foster care isnt regulated enough, so much so that it gets taken advantage of and kids are placed in bad homes all for money.",many foster parents are into this for financial gain only.,1,1
Foster care brings more harm than good,foster care just passes children around like they are a burden instead of finding a home for them.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care keeps children out of shelters and homelessness and gives them a home and food to survive.,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,"foster care offers little stability for children already suffering hardships, putting them at an even greater disadvantage and giving them less of a chance of a normal life.",many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care provides a sense of impermanence that is detrimental to children.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,"foster care provides children a family setting, one that they so desperately need in order to become a positive influence on society.","foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,foster care provides homes for children that have nowhere else to go.,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,foster care provides loving homes for children being raised in the system.,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,foster care provides temporary shelter for children who would otherwise be on the streets.,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,foster care puts already vulnerable kids in to the hands of those who might abuse them further.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care reduces the burden on government institutions designed to deal with those that need these services and gives wards a more personal level of care.,"foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,foster care supports an environment for child abuse.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care takes a child away from it's family damaging the bonds that a child has with their natural parents. the bonds may never recover.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care tends to move children from home to home and lacks stability.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster care's downsides are obvious from the neglect and harm that the children face it's hard to make an emotional connection to children who aren't related to you.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,"foster carers don't really care about the children, they just do it for the government paycheck.",many foster parents are into this for financial gain only.,1,1
Foster care brings more harm than good,foster carers need to be vetted seriously otherwise they might not able to provide the support required.,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,"foster cares gives children who have been removed from abusive situations a chance at a family and care, education and a better life.","foster care  give a child an opportunity for change, happiness and growth",-1,1
Foster care brings more harm than good,foster families aren't fully prepared when fostering kids and can cause abuse mentally and/or physically to the child,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster families may be malicious and abuse foster children or only participate for monetary gain,many foster parents are into this for financial gain only.,1,1
Foster care brings more harm than good,foster homes are not under the severe strict guidelines child protective services has for the average family,many foster parents are into this for financial gain only.,1,0
Foster care brings more harm than good,foster parents are not often screened appropriately. some are in it for the money. often the children are placed in an unsuitable environment.,many foster parents are into this for financial gain only.,1,1
Foster care brings more harm than good,"foster parents are well-intentioned, the harms caused are ones that can easily be fixed by giving them access to more information and support from social workers.","foster care  give a child an opportunity for change, happiness and growth",-1,0
Foster care brings more harm than good,"foster parents can take advantage of children, and sometimes they volunteer just to get a paycheck.",many foster parents are into this for financial gain only.,1,1
Foster care brings more harm than good,foster parents may not be properly vetted to insure children will not be abused,many foster parents are into this for financial gain only.,1,0
Entrapment should be legalized,gathering sufficient proofs to find a person guilty should be permissible. entrapment is somewhat an easy way to find a person guilty,entrapment can get criminals off the street,1,0
The use of public defenders should be mandatory,"having a public defender in your court allows for a greater knowledge and experience when presenting your case, as opposed to representing yourself.",public defenders help low income people defend themselves.,1,0
The use of public defenders should be mandatory,having a system where public defenders are mandatory would make it fairer because all defendants would have the same level of defense,public defenders help low income people defend themselves.,1,0
Entrapment should be legalized,"helping to solve bigger crimes, entrapment is approved and should be legalized.",entrapment can get criminals off the street,1,0
We should subsidize student loans,higher education leads to individuals becoming productive tax paying memebers of society so government should help people pay for this education,student loans are made to keep students in long term debt.,1,0
We should ban algorithmic trading,i don't see the need to ban something that helps people make money automatically.,algorithmic trading increase the economic flow and increases business,-1,0
We should adopt a zero-tolerance policy in schools,i think it is a very appropriate method given the physical and psychological violence that exists in schools today.,a zero tolerance policy would mean everyone is treated the same.,1,0
We should end racial profiling,if a certain race doesn't want to be treated like criminals then they shouldn't look like criminals.,racial profiling could help keep people safer.,-1,0
The use of public defenders should be mandatory,if a criminal chooses to not have a legal counsel then those are his rights.,public defenders have too many cases to properly represent defendants,-1,0
Entrapment should be legalized,if a criminal is given the opportunity to refuse then entrapment is permitted,entrapment can get criminals off the street,1,0
The use of public defenders should be mandatory,if a person can pay for a better lawyer they should have the right to do so.,public defenders have too many cases to properly represent defendants,-1,0
The use of public defenders should be mandatory,"if a person can't afford otherwise, sure, give them a public defender but to require them is insanity.  the cost is just too great.",public defenders have too many cases to properly represent defendants,-1,0
We should subsidize student loans,"if a person doesn't want massive debt, they could go straight into the workforce rather than study",subsidizing student loans will put the government in more debt,-1,0
Entrapment should be legalized,"if a person tries to commit a crime even though it didn't actually happen because a law enforcement officer was under cover, they still had the intent.",entrapment can get criminals off the street,1,0
The use of public defenders should be mandatory,"if all people had to use public defenders, more money would be forced to go into the system, which would improve criminal defense for the least well off.",public defenders help low income people defend themselves.,1,1
Entrapment should be legalized,"if entrapment can serve to more easily capture wanted criminals, then why shouldn't it be legal?",entrapment can get criminals off the street,1,1
The use of public defenders should be mandatory,if everyone had a public defender the overall fairness of the legal system would be great.,public defenders help low income people defend themselves.,1,0
The use of public defenders should be mandatory,if everyone had the same quality of defense it would be a more level playing field,public defenders help low income people defend themselves.,1,0
The use of public defenders should be mandatory,"if everyone used a public defender it would level the playing field, and give more equality rather than the quality of defense being dependent on how rich the defendant is",public defenders help low income people defend themselves.,1,0
The use of public defenders should be mandatory,if everyone used public defenders it would make everyone defended in the same way and create fairer trials.,public defenders help low income people defend themselves.,1,0
The use of public defenders should be mandatory,if everyone used public defenders it would make things more fair in court between the poor and the rich who can afford a better lawyer,public defenders help low income people defend themselves.,1,0
The use of public defenders should be mandatory,if everyone was to use public defenderd everyone would have an equal chance. money couldn't buy yourself out of trouble.,public defenders help low income people defend themselves.,1,0
We should end racial profiling,"if it is known what the race or color is, then racial profiling would be necessary.",racial profiling could help keep people safer.,-1,0
Entrapment should be legalized,"if it was legal, more crimials would be caught and punished",entrapment can get criminals off the street,1,1
We should abolish the three-strikes laws,"if limited to violent crime, three-strikes laws serve the necessary function of keeping dangerous individuals out of society.",three-strike laws minimize the prison population and are beneficial,-1,0
We should abolish the three-strikes laws,if people are habitually re-offending then they need a punishment that will stop them. a mandatory prison sentence is the minimum they should have as a punishment.,three-strike laws minimize the prison population and are beneficial,-1,0
The use of public defenders should be mandatory,"if people can afford it, they should be able to pick which attorney they want to defend them.",public defenders have too many cases to properly represent defendants,-1,0
We should abolish the three-strikes laws,"if people keep repeating the same offenses and won't change their ways, they deserve to be incarcerated permanently.",three-strike laws minimize the prison population and are beneficial,-1,0
We should subsidize student loans,if somebody wants to go to university or college they should be responsible for the funding and not somebody else.,subsidizing student loans will put the government in more debt,-1,0
The use of public defenders should be mandatory,"if someone can afford a high-paid attorney, they should not be forced to use a public defender instead as they are entitled to have the best defense they can buy",public defenders have too many cases to properly represent defendants,-1,0
We should abolish the three-strikes laws,if someone commits three serious crimes then they have proven that they cannot be trusted and will likely go on to break the lay repeatedly.,three-strike laws minimize the prison population and are beneficial,-1,0
We should ban algorithmic trading,"if someone designs an algorithm that they trust to predict market trends, they should be able to employ it.",algorithmic trading increase the economic flow and increases business,-1,0
The use of public defenders should be mandatory,if someone feels they can represent themselves in court then they should not be forced to have a public defender,public defenders have too many cases to properly represent defendants,-1,0
The use of public defenders should be mandatory,"if someone has the means to afford the best representation they can, they should be allowed to do so in the interests of them getting the best defence.",public defenders have too many cases to properly represent defendants,-1,0
We should abolish the three-strikes laws,"if someone is habitually offending, they deserve to be punished on the harshest level.",three-strike laws minimize the prison population and are beneficial,-1,0
The use of public defenders should be mandatory,if someone is unable to afford a lawyer their rights must be protected by providing representation,public defenders help low income people defend themselves.,1,1
The use of public defenders should be mandatory,if someone wants to defend themselves that is their right,public defenders have too many cases to properly represent defendants,-1,0
We should adopt a zero-tolerance policy in schools,if students know that they are going to be punished for a first time offense they probably will not even try it.,a zero tolerance policy would mean everyone is treated the same.,1,0
We should subsidize student loans,"if students want to attend university, they should be able to fund their own way themselves.",subsidizing student loans will put the government in more debt,-1,0
We should abolish the three-strikes laws,if the person has a history of criminality then they should be punished more heavily.,three-strike laws minimize the prison population and are beneficial,-1,0
We should subsidize student loans,if these loans were subsidized some of the students wouldn't take their studies as serious as those that have to pay out of pocket.,subsidizing student loans will put the government in more debt,-1,0
Entrapment should be legalized,if used to catch people where insufficient evidence exists it should be allowed,entrapment can get criminals off the street,1,0
We should abolish the three-strikes laws,if we abolish the three-strikes laws then the prisons will continue to be like a revolving door with offenders continuing on the same line.,three-strike laws minimize the prison population and are beneficial,-1,0
We should end the use of economic sanctions,"if we end economic sanctions, some countries would take advantage of other countries, and trading and buying and selling would not be fair for all countries involved.",economic sanctions are designed to destroy dictators and violators of human rights,-1,0
We should abolish the three-strikes laws,"if we got rid of three-strikes laws, there would be little deterrent for career criminals.",three-strike laws minimize the prison population and are beneficial,-1,0
We should end the use of economic sanctions,"if we keep sanctions, then  countries will be less likely to make mistakes",economic sanctions are designed to destroy dictators and violators of human rights,-1,0
We should subsidize student loans,if we subsidise student loans then people won't value their education as much as would if the were paying full fees.,subsidizing student loans will put the government in more debt,-1,0
We should subsidize student loans,if we subsidize student loans we will create corruption mechanisms so that others can take advantage of these subsidies,subsidizing student loans will put the government in more debt,-1,0
The use of public defenders should be mandatory,"if wealthy and powerful members of society were reliant on public defenders, it would create an impetus to improve their funding and standards.",public defenders help low income people defend themselves.,1,0
The use of public defenders should be mandatory,"if you are in a legal situation, you should have to provide your own counsel",public defenders have too many cases to properly represent defendants,-1,0
The use of public defenders should be mandatory,if you can afford a better more personalised experience you should be allowed to pay for one.,public defenders have too many cases to properly represent defendants,-1,0
We should end racial profiling,"in certain situations, for example airports, racial profiling is necessary and effective for determining high risk members of the public, to ensure the safety of others",racial profiling could help keep people safer.,-1,1
We should adopt a zero-tolerance policy in schools,in many cases punishment does not match crime,zero tolerance policies can disrupt the lives of students,-1,0
We should subsidize student loans,in the interests of raising the education level of our population we should subsidize student loans.,student loans are made to keep students in long term debt.,1,0
We should ban algorithmic trading,"in the new era, good ideas do not know limits, which makes it impossible to prohibit algorithm trading",algorithmic trading increase the economic flow and increases business,-1,0
The use of public defenders should be mandatory,it allows the poor who don't have the funds to have legal advice to be able to attain legal advice,public defenders help low income people defend themselves.,1,1
We should adopt a zero-tolerance policy in schools,it can act as a good deterrent to bad behavior,a zero tolerance policy would mean everyone is treated the same.,1,0
